,Name,Link,size
58,Meadesmoore,https://www.google.com/maps/place/Meadesmoore/data=!4m7!3m6!1s0x31da19862e0dc7ef:0x626433b5301f728a!8m2!3d1.281248!4d103.8485347!16s%2Fg%2F11q_6wx_y0!19sChIJ78cNLoYZ2jERinIfMLUzZGI?authuser=0&hl=en&rclk=1,10
59,Mimi Restaurant,https://www.google.com/maps/place/Mimi+Restaurant/data=!4m7!3m6!1s0x31da19a9934ecaa1:0xaacea06d39d3e102!8m2!3d1.2900386!4d103.845212!16s%2Fg%2F11h4lcc42v!19sChIJocpOk6kZ2jERAuHTOW2gzqo?authuser=0&hl=en&rclk=1,11
60,Miss Fitz,https://www.google.com/maps/place/Miss+Fitz/data=!4m7!3m6!1s0x31da19a1e4488f33:0xa80230a278987757!8m2!3d1.280649!4d103.8529032!16s%2Fg%2F11hz6t3j0m!19sChIJM49I5KEZ2jERV3eYeKIwAqg?authuser=0&hl=en&rclk=1,15
61,Miyu,https://www.google.com/maps/place/Miyu/data=!4m7!3m6!1s0x31da19672bd47b59:0xc6602d89ebcca962!8m2!3d1.2782491!4d103.84312!16s%2Fg%2F11h8q0fsdw!19sChIJWXvUK2cZ2jERYqnM64ktYMY?authuser=0&hl=en&rclk=1,20
62,Miznon Singapore,https://www.google.com/maps/place/Miznon+Singapore/data=!4m7!3m6!1s0x31da19512ce68379:0xb8ddcc732e60952d!8m2!3d1.279986!4d103.847797!16s%2Fg%2F11m2702n1y!19sChIJeYPmLFEZ2jERLZVgLnPM3bg?authuser=0&hl=en&rclk=1,20
63,Monti At 1-Pavilion Italian Restaurant,https://www.google.com/maps/place/Monti+At+1-Pavilion+Italian+Restaurant/data=!4m7!3m6!1s0x31da1908d14ca5b5:0xa0c3cda1d1733f90!8m2!3d1.2846419!4d103.8540406!16s%2Fg%2F11cspkzyzh!19sChIJtaVM0QgZ2jERkD9z0aHNw6A?authuser=0&hl=en&rclk=1,23
64,Mott 32 Singapore,https://www.google.com/maps/place/Mott+32+Singapore/data=!4m7!3m6!1s0x31da19db995822eb:0xd47a2b1bbbd4ff2d!8m2!3d1.2855676!4d103.8592978!16s%2Fg%2F11h9pky_k9!19sChIJ6yJYmdsZ2jERLf_UuxsretQ?authuser=0&hl=en&rclk=1,17
65,Mouth Restaurant - 地茂馆,https://www.google.com/maps/place/Mouth+Restaurant+-+%E5%9C%B0%E8%8C%82%E9%A6%86/data=!4m7!3m6!1s0x31da197dce38b4a9:0xa0f173db844b24f4!8m2!3d1.2790836!4d103.8451038!16s%2Fg%2F1tdlrswr!19sChIJqbQ4zn0Z2jER9CRLhNtz8aA?authuser=0&hl=en&rclk=1,11
66,New Ubin Seafood CHIJMES,https://www.google.com/maps/place/New+Ubin+Seafood+CHIJMES/data=!4m7!3m6!1s0x31da19a4436c43e1:0x3201eeae445aba02!8m2!3d1.2949022!4d103.8527083!16s%2Fg%2F11f4x83cnm!19sChIJ4UNsQ6QZ2jERArpaRK7uATI?authuser=0&hl=en&rclk=1,6
67,North Singapore (By Miznon),https://www.google.com/maps/place/North+Singapore+%28By+Miznon%29/data=!4m7!3m6!1s0x31da19f17629d643:0x3f60944ed3636f04!8m2!3d1.2819533!4d103.8476235!16s%2Fg%2F11q25ms5xg!19sChIJQ9YpdvEZ2jERBG9j006UYD8?authuser=0&hl=en&rclk=1,19
68,Nouri,https://www.google.com/maps/place/Nouri/data=!4m7!3m6!1s0x31da190d6f4fdaab:0x3602121344bc79aa!8m2!3d1.2802746!4d103.8466022!16s%2Fg%2F11df0mkzzh!19sChIJq9pPbw0Z2jERqnm8RBMSAjY?authuser=0&hl=en&rclk=1,24
69,OUE Tower,https://www.google.com/maps/place/OUE+Tower/data=!4m7!3m6!1s0x31da190edbfe82c3:0xed21aef3e4fde2e2!8m2!3d1.2835014!4d103.8531358!16s%2Fg%2F11c5zck62k!19sChIJw4L-2w4Z2jER4uL95POuIe0?authuser=0&hl=en&rclk=1,14
70,OUMI Modern Japanese Kappo Restaurant,https://www.google.com/maps/place/OUMI+Modern+Japanese+Kappo+Restaurant/data=!4m7!3m6!1s0x31da113daa6e9b23:0xaec605ae0fd8dd67!8m2!3d1.2837048!4d103.8501235!16s%2Fg%2F11txpx5b3l!19sChIJI5tuqj0R2jERZ93YD64Fxq4?authuser=0&hl=en&rclk=1,22
71,Odette,https://www.google.com/maps/place/Odette/data=!4m7!3m6!1s0x31da19a74fed486d:0x32964a71907ce024!8m2!3d1.2897067!4d103.8514433!16s%2Fg%2F11bwn8t504!19sChIJbUjtT6cZ2jERJOB8kHFKljI?authuser=0&hl=en&rclk=1,22
72,Olivia Restaurant & Lounge,https://www.google.com/maps/place/Olivia+Restaurant+%26+Lounge/data=!4m7!3m6!1s0x31da199d6b0ff51d:0xcfefdfe5e4e69b18!8m2!3d1.2806358!4d103.8415896!16s%2Fg%2F11fk13x233!19sChIJHfUPa50Z2jERGJvm5OXf788?authuser=0&hl=en&rclk=1,16
73,Osteria Mozza,https://www.google.com/maps/place/Osteria+Mozza/data=!4m7!3m6!1s0x31da19a58350782d:0x36052098d7a901fd!8m2!3d1.302036!4d103.8358858!16s%2Fg%2F11sx6ym8jg!19sChIJLXhQg6UZ2jER_QGp15ggBTY?authuser=0&hl=en&rclk=1,6
74,PUTIEN Kitchener Road,https://www.google.com/maps/place/PUTIEN+Kitchener+Road/data=!4m7!3m6!1s0x31da19c865bc3cdf:0xb2f5c1e0491a006a!8m2!3d1.309551!4d103.8573328!16s%2Fg%2F1tn039wr!19sChIJ3zy8ZcgZ2jERagAaSeDB9bI?authuser=0&hl=en&rclk=1,8
75,Pasta Fresca Da Salvatore (Boat Quay),https://www.google.com/maps/place/Pasta+Fresca+Da+Salvatore+%28Boat+Quay%29/data=!4m7!3m6!1s0x31da190bdb65f181:0x43262cb029e40ea4!8m2!3d1.2860763!4d103.849884!16s%2Fg%2F1tz6zxvn!19sChIJgfFl2wsZ2jERpA7kKbAsJkM?authuser=0&hl=en&rclk=1,15
76,Path Restaurant,https://www.google.com/maps/place/Path+Restaurant/data=!4m7!3m6!1s0x31da198079f473a5:0x7e0c311de225cd78!8m2!3d1.2794242!4d103.85443!16s%2Fg%2F11rkg5y3n2!19sChIJpXP0eYAZ2jEReM0l4h0xDH4?authuser=0&hl=en&rclk=1,20
77,Paulaner Bräuhaus Singapore,https://www.google.com/maps/place/Paulaner+Br%C3%A4uhaus+Singapore/data=!4m7!3m6!1s0x31da19a8c6034109:0xfa10b27ef90852e!8m2!3d1.2930767!4d103.8582873!16s%2Fg%2F1v0lh8rt!19sChIJCUEDxqgZ2jERLoWQ7ycLoQ8?authuser=0&hl=en&rclk=1,6
78,Publico Ristorante,https://www.google.com/maps/place/Publico+Ristorante/data=!4m7!3m6!1s0x31da199ddfe3ce95:0x170bc97656485d79!8m2!3d1.2898174!4d103.8385654!16s%2Fg%2F11fzf7d85b!19sChIJlc7j350Z2jEReV1IVnbJCxc?authuser=0&hl=en&rclk=1,15
